,year,회사명,거래소코드,회계년도,시가총액(백만원),유동자산(백만원),부채(백만원),당기순이익(백만원)
5803,2008,만호제강(주),001080,2007/06,45235.0,73680.0,24559.0,2007.0
5804,2008,삼화전기(주),009470,2007/12,45106.2524,64741.0,82704.0,897.0
5805,2008,웰바이오텍(주),010600,2007/12,44866.39608,61057.0,64133.0,-6424.0
5806,2008,(주)방림,003610,2007/09,44852.9354,120747.0,81952.0,1779.0
5807,2008,삼성공조(주),006660,2007/12,44694.727,177308.0,101140.0,-2934.0
5808,2008,한국석유공업(주),004090,2007/12,44291.52,44828.0,50796.0,2781.0
5809,2008,에쓰씨엔지니어링(주),023960,2007/12,44218.98679,115737.0,95317.0,14538.0
5814,2008,문배철강(주),008420,2007/12,43467.4306,108493.0,91254.0,7212.0
5815,2008,제이더블유홀딩스(주),096760,2007/12,43387.08075,237939.0,340167.0,-9942.0
5816,2008,(주)디아이씨,092200,2007/12,43183.0,102940.0,79485.0,10318.0
5817,2008,유성기업(주),002920,2007/12,43092.6498,89947.0,60401.0,13214.0
5818,2008,(주)비비안,002070,2007/06,42581.259,75359.0,28096.0,8887.0
5819,2008,태림포장(주),011280,2007/12,42483.564,70928.0,112765.0,11274.0
5822,2008,(주)경동나비엔,009450,2007/12,41932.8,102250.0,50811.0,7667.0
5823,2008,영풍제지(주),006740,2007/12,41736.0,74987.0,16358.0,6194.0
5827,2008,(주)인스코비,006490,2007/12,41335.9486,11802.0,18212.0,2159.0
5829,2008,(주)한솔홈데코,025750,2007/12,40947.34125,80578.0,160845.0,-812.0
5831,2008,(주)알루코,001780,2007/12,40799.0418,130346.0,168043.0,1610.0
5832,2008,(주)이수페타시스,007660,2007/12,40712.06678,112572.0,132326.0,-700.0
5835,2008,계양전기(주),012200,2007/12,39772.0,98937.0,21503.0,8983.0
5836,2008,(주)넥센,005720,2007/12,39767.409,239000.0,509466.0,29257.0
5837,2008,(주)대양금속,009190,2007/12,39695.31,177975.0,177336.0,6154.0
5838,2008,한국무브넥스(주),010100,2007/12,39646.44684,275655.0,239486.0,7286.0
5839,2008,유니퀘스트(주),077500,2007/12,39432.45383,80361.0,59738.0,13019.0
5841,2008,한국고덴시(주),027840,2007/12,39096.759825,62478.0,41964.0,6145.0
5847,2008,(주)태경비케이,014580,2007/12,37513.016,36802.0,40893.0,3724.0
5849,2008,(주)선진지주,014300,2007/12,37400.0,133400.0,132822.0,12318.0
5850,2008,(주)삼익악기,002450,2007/12,37381.38601,101623.0,90386.0,4696.0
5851,2008,(주)화신,010690,2007/12,37380.0,261598.0,283536.0,18039.0
5853,2008,금강공업(주),014280,2007/12,37051.00532,188952.0,241211.0,2453.0
5855,2008,에이치디씨현대이피(주),089470,2007/12,37004.0,74333.0,48345.0,6345.0
5856,2008,이건산업(주),008250,2007/12,36718.05816,102819.0,193380.0,-15111.0
5857,2008,티와이엠(주),002900,2007/12,36617.784,166168.0,131629.0,10958.0
5859,2008,(주)수산중공업,017550,2007/12,36324.4248,70858.0,52246.0,7262.0
5863,2008,연합과기공고유한공사,900030,2007/12,35600.0,66444.0,55417.0,7303.0
5864,2008,(주)우성,006980,2007/12,35535.0,118241.0,72009.0,2128.0
5866,2008,(주)티비에이치글로벌,084870,2007/12,34935.171825,159230.0,93166.0,16014.0
5867,2008,(주)티이씨앤코,008900,2007/12,33736.9525,343253.0,337030.0,53171.0
5868,2008,(주)화승코퍼레이션,013520,2007/12,33442.70678,536484.0,748559.0,13082.0
5870,2008,(주)케이씨티시,009070,2007/12,33300.0,78523.0,72429.0,14636.0
5872,2008,아세아제지(주),002310,2007/12,32987.4636,101421.0,173178.0,2691.0
5875,2008,인지컨트롤스(주),023800,2007/12,32897.47776,131183.0,139584.0,12787.0
