,시가총액,티커,year,회사명,거래소코드,회계년도,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),1주당순이익(IFRS)(원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),매출총이익(손실)(요약)(IFRS연결)(백만원),계속영업이익(손실)(요약)(IFRS연결)(백만원)
189,55129427250,007340,2000,(주)디엔오토모티브,007340,1999/12,,,,,,,,,,,,,,,
190,54919135390,003810,2000,(주)대우,003810,1999/12,,,,,,,,,,,,,,,
191,54562790750,016420,2000,NH농협증권(주),016420,1999/03,,,,,,,,,,,,,,,
192,54363700105,011780,2000,금호석유화학(주),011780,1999/12,,,,,,,,,,,,,,,
193,54267884920,016380,2000,KG스틸(주),016380,1999/12,,,,,,,,,,,,,,,
194,53853456700,016580,2000,환인제약(주),016580,1999/12,,,,,,,,,,,,,,,
195,52830810600,007810,2000,(주)코리아써키트,007810,1999/12,,,,,,,,,,,,,,,
196,52582476550,017810,2000,(주)풀무원,017810,1999/12,,,,,,,,,,,,,,,
197,52435607840,001290,2000,(주)상상인증권,001290,1999/03,,,,,,,,,,,,,,,
198,52352934400,003030,2000,(주)세아제강지주,003030,1999/12,,,,,,,,,,,,,,,
199,51511615080,016880,2000,(주)웅진,016880,1999/12,,,,,,,,,,,,,,,
200,50160000000,015360,2000,(주)예스코홀딩스,015360,1999/12,,,,,,,,,,,,,,,
201,50054742230,005180,2000,(주)빙그레,005180,1999/09,,,,,,,,,,,,,,,
202,49920000000,006250,2000,극동전선(주),006250,1999/12,,,,,,,,,,,,,,,
203,49800000000,002170,2000,삼양통상(주),002170,1999/12,,,,,,,,,,,,,,,
204,48608000000,000390,2000,삼화페인트공업(주),000390,1999/12,,,,,,,,,,,,,,,
205,48400000000,019930,2000,기라정보통신(주),019930,1999/12,,,,,,,,,,,,,,,
206,47314312575,001520,2000,(주)동양,001520,1999/12,,,,,,,,,,,,,,,
207,47239300480,008930,2000,한미사이언스(주),008930,1999/12,,,,,,,,,,,,,,,
208,47190925600,008530,2000,일은증권(주),008530,1999/03,,,,,,,,,,,,,,,
209,47157280120,031820,2000,(주)콤텍시스템,031820,1999/12,,,,,,,,,,,,,,,
210,46462005240,011930,2000,(주)신성이엔지,011930,1999/12,,,,,,,,,,,,,,,
211,46096000000,007310,2000,(주)오뚜기,007310,1999/12,,,,,,,,,,,,,,,
212,46023116700,001630,2000,(주)종근당홀딩스,001630,1999/12,,,,,,,,,,,,,,,
213,45511728000,004830,2000,(주)덕성,004830,1999/12,,,,,,,,,,,,,,,
214,44843612640,010420,2000,한솔피엔에스(주),010420,1999/12,,,,,,,,,,,,,,,
215,44817306800,020000,2000,(주)한섬,020000,1999/12,,,,,,,,,,,,,,,
216,44700000000,001450,2000,현대해상화재보험(주),001450,1999/03,,,,,,,,,,,,,,,
217,44570475900,003070,2000,코오롱글로벌(주),003070,1999/12,,,,,,,,,,,,,,,
218,44514117000,002350,2000,넥센타이어(주),002350,1999/12,,,,,,,,,,,,,,,
219,43793294000,005770,2000,(주)광주은행,005770,1999/12,,,,,,,,,,,,,,,
220,43222147650,003160,2000,(주)디아이,003160,1999/12,,,,,,,,,,,,,,,
221,43209846540,001570,2000,(주)금양,001570,1999/12,,,,,,,,,,,,,,,
222,42980000000,000760,2000,이화산업(주),000760,1999/03,,,,,,,,,,,,,,,
223,42930000000,009580,2000,무림피앤피(주),009580,1999/12,,,,,,,,,,,,,,,
224,42840000000,012420,2000,메리츠종합금융(주),012420,1999/03,,,,,,,,,,,,,,,
225,42753620910,003460,2000,유화증권(주),003460,1999/03,,,,,,,,,,,,,,,
226,42667719600,009280,2000,(주)다함이텍,009280,1999/12,,,,,,,,,,,,,,,
227,42362100000,029460,2000,(주)케이씨,029460,1999/12,,,,,,,,,,,,,,,
228,41914600000,013580,2000,계룡건설산업(주),013580,1999/12,,,,,,,,,,,,,,,
229,41852940000,009200,2000,무림페이퍼(주),009200,1999/03,,,,,,,,,,,,,,,
230,41685778050,006610,2000,(주)경남은행,006610,1999/12,,,,,,,,,,,,,,,
231,41479544000,001270,2000,부국증권(주),001270,1999/03,,,,,,,,,,,,,,,
232,41384597265,011160,2000,두산건설(주),011160,1999/12,,,,,,,,,,,,,,,
233,40950909510,013890,2000,(주)지누스,013890,1999/12,,,,,,,,,,,,,,,
234,40867200000,012320,2000,(주)경동인베스트,012320,1999/12,,,,,,,,,,,,,,,
235,40349361360,009290,2000,광동제약(주),009290,1999/12,,,,,,,,,,,,,,,
236,40098000000,012200,2000,계양전기(주),012200,1999/12,,,,,,,,,,,,,,,
237,40041857520,015860,2000,일진홀딩스(주),015860,1999/12,,,,,,,,,,,,,,,
238,39782912000,024070,2000,(주)위스컴,024070,1999/12,,,,,,,,,,,,,,,
239,39380741400,000050,2000,(주)경방,000050,1999/12,,,,,,,,,,,,,,,
240,39185000000,025530,2000,(주)에스제이엠홀딩스,025530,1999/12,,,,,,,,,,,,,,,
241,38800000000,000970,2000,한국주철관공업(주),000970,1999/03,,,,,,,,,,,,,,,
