,year,회사명,거래소코드,회계년도,시가총액(백만원),PER(최고),PER(최저),PBR(최고),PBR(최저),PCR(최고),PCR(최저),PSR(최고),PSR(최저)
5631,2008,계룡건설산업(주),013580,2007/12,142894.512,11.87,6.17,1.7,0.88,39.56,20.54,0.73,0.38
5632,2008,성원건설(주),012090,2007/12,142682.85315,154.7,19.06,6.85,0.84,95.34,11.75,5.98,0.74
5633,2008,(주)한국카본,017960,2007/12,141600.0,16.87,8.4,3.05,1.52,25.24,12.57,1.89,0.94
5634,2008,(주)DB하이텍,000990,2007/12,140604.3009,0.0,0.0,1.11,0.39,0.0,0.0,0.69,0.25
5635,2008,광동제약(주),009290,2007/12,139963.67217,14.06,5.78,2.06,0.85,9.37,3.85,1.36,0.56
5636,2008,코오롱글로벌(주),003070,2007/12,138429.08172,31.79,15.65,1.55,0.76,8.43,4.15,0.41,0.2
5638,2008,한신공영(주),004960,2007/12,135249.53715,10.68,5.0,1.21,0.57,0.0,0.0,0.43,0.2
5640,2008,동원시스템즈(주),014820,2007/12,133862.0262,15.29,6.54,4.47,1.91,0.0,0.0,1.1,0.47
5641,2008,(주)한독,002390,2007/12,132240.0,16.46,8.47,1.78,0.92,9.74,5.01,1.2,0.62
5642,2008,일진홀딩스(주),015860,2007/12,131048.74728,30.93,7.24,2.81,0.66,0.0,0.0,0.99,0.23
5643,2008,(주)엔케이,085310,2007/12,129718.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5644,2008,국도화학(주),007690,2007/12,127833.552,18.81,9.08,1.46,0.71,267.21,128.93,0.64,0.31
5645,2008,(주)경방,000050,2007/12,126880.0,9.73,4.33,1.4,0.62,0.0,0.0,3.87,1.72
5646,2008,FnC코오롱(주),001370,2007/12,126637.98,15.65,7.74,4.49,2.22,33.06,16.36,0.85,0.42
5647,2008,일동홀딩스(주),000230,2007/03,126343.0476,8.84,5.37,1.34,0.82,8.12,4.93,0.79,0.48
5648,2008,경남기업(주),000800,2007/12,125916.28457,25.8,6.97,2.18,0.59,18.39,4.97,0.74,0.2
5649,2008,삼호개발(주),010960,2007/12,125800.0,32.83,2.53,6.2,0.48,24.94,1.93,2.24,0.17
5650,2008,동부건설(주),005960,2007/12,121372.22165,0.0,0.0,2.54,0.82,16.43,5.32,0.56,0.18
5651,2008,삼부토건(주),001470,2007/12,119290.059,50.72,18.52,1.6,0.58,11.82,4.32,0.9,0.33
5652,2008,케이지모빌리티(주),003620,2007/12,115972.4352,86.44,45.26,1.15,0.6,0.0,0.0,0.32,0.17
